participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,participant.finished,participant.Trad_strict,participant.ES_strict,participant.switch_order,participant.confirm,participant.start_time,participant.end_time,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.development,session.config.participation_fee,session.config.name,session.config.real_world_currency_per_point,session.prolific_completion_url,welfare.1.player.id_in_group,welfare.1.player.role,welfare.1.player.payoff,welfare.1.player.confirm,welfare.1.player.ES_wtp,welfare.1.player.Trad_wtp,welfare.1.player.ES_learn,welfare.1.player.Trad_learn,welfare.1.player.ES_wtp2,welfare.1.player.Trad_wtp2,welfare.1.player.ES_learn2,welfare.1.player.Trad_learn2,welfare.1.player.ES_wtp3,welfare.1.player.Trad_wtp3,welfare.1.player.ES_learn3,welfare.1.player.Trad_learn3,welfare.1.player.experience,welfare.1.player.experienceWhy,welfare.1.player.arkansas,welfare.1.player.arkansasWhy,welfare.1.player.warhol,welfare.1.player.warholWhy,welfare.1.player.cq1,welfare.1.player.cq2,welfare.1.player.cq3,welfare.1.player.cq4,welfare.1.player.cq5,welfare.1.player.gender,welfare.1.player.ethnic,welfare.1.player.age,welfare.1.player.education,welfare.1.player.marital,welfare.1.player.income,welfare.1.player.percentProlific,welfare.1.player.state,welfare.1.player.feedback,welfare.1.player.feedbackDifficulty,welfare.1.player.feedbackUnderstanding,welfare.1.player.feedbackSatisfied,welfare.1.player.feedbackPay,welfare.1.player.cq1_mistakes,welfare.1.player.cq2_mistakes,welfare.1.player.cq3_mistakes,welfare.1.player.cq4_mistakes,welfare.1.player.cq5_mistakes,welfare.1.player.ES_learn_mistakes,welfare.1.player.Trad_learn_mistakes,welfare.1.player.ES_learn2_mistakes,welfare.1.player.Trad_learn2_mistakes,welfare.1.player.ES_learn3_mistakes,welfare.1.player.Trad_learn3_mistakes,welfare.1.player.timeSubmitted_PostCQs,welfare.1.player.timeSubmitted_Cases,welfare.1.player.timeSubmitted_Cases2,welfare.1.player.timeSubmitted_Cases3Explain,welfare.1.player.timeSubmitted_Cases3,welfare.1.player.timeSubmitted_ReviewStatements,welfare.1.player.timeSubmitted_PostMPL,welfare.1.group.id_in_subsession,welfare.1.subsession.round_number,welfare.2.player.id_in_group,welfare.2.player.role,welfare.2.player.payoff,welfare.2.player.confirm,welfare.2.player.ES_wtp,welfare.2.player.Trad_wtp,welfare.2.player.ES_learn,welfare.2.player.Trad_learn,welfare.2.player.ES_wtp2,welfare.2.player.Trad_wtp2,welfare.2.player.ES_learn2,welfare.2.player.Trad_learn2,welfare.2.player.ES_wtp3,welfare.2.player.Trad_wtp3,welfare.2.player.ES_learn3,welfare.2.player.Trad_learn3,welfare.2.player.experience,welfare.2.player.experienceWhy,welfare.2.player.arkansas,welfare.2.player.arkansasWhy,welfare.2.player.warhol,welfare.2.player.warholWhy,welfare.2.player.cq1,welfare.2.player.cq2,welfare.2.player.cq3,welfare.2.player.cq4,welfare.2.player.cq5,welfare.2.player.gender,welfare.2.player.ethnic,welfare.2.player.age,welfare.2.player.education,welfare.2.player.marital,welfare.2.player.income,welfare.2.player.percentProlific,welfare.2.player.state,welfare.2.player.feedback,welfare.2.player.feedbackDifficulty,welfare.2.player.feedbackUnderstanding,welfare.2.player.feedbackSatisfied,welfare.2.player.feedbackPay,welfare.2.player.cq1_mistakes,welfare.2.player.cq2_mistakes,welfare.2.player.cq3_mistakes,welfare.2.player.cq4_mistakes,welfare.2.player.cq5_mistakes,welfare.2.player.ES_learn_mistakes,welfare.2.player.Trad_learn_mistakes,welfare.2.player.ES_learn2_mistakes,welfare.2.player.Trad_learn2_mistakes,welfare.2.player.ES_learn3_mistakes,welfare.2.player.Trad_learn3_mistakes,welfare.2.player.timeSubmitted_PostCQs,welfare.2.player.timeSubmitted_Cases,welfare.2.player.timeSubmitted_Cases2,welfare.2.player.timeSubmitted_Cases3Explain,welfare.2.player.timeSubmitted_Cases3,welfare.2.player.timeSubmitted_ReviewStatements,welfare.2.player.timeSubmitted_PostMPL,welfare.2.group.id_in_subsession,welfare.2.subsession.round_number
26,87lcdeei,6290c65ed46e5dce4f16bb92,0,2,36,welfare,Consent,2023-07-28 14:30:39.733781,1,,,0.0,,,,0,,1690554700.3016875,,gfomuwu5,,,,,0,0,3.0,welfare,1.0,,26,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,1,26,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,2
27,ifibjhyb,62c97585c81636f2f16fbbb0,0,36,36,welfare,Finished,2023-07-28 14:30:59.124104,1,,,0.0,1,true,false,1,1,1690555090.0222757,1690555920.9002607,gfomuwu5,,,,,0,0,3.0,welfare,1.0,,27,,0.0,1,2,1,2,1,1,1,2,1,NA,"{""history"":[],""cutoff"":""right:4""}",,1,,,,,,,1,1,2,2,3,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1690555303.1157923,1690555344.320162,1690555363.9711888,1690555371.25163,1690555413.0001855,1690555472.178712,,1,1,27,,0.0,,,,,,,,,,,,,,0,"I would not go into the machine because I prefer having my conscious reality instead of an artificial one. Even if I don't realize I'm in a machine, I would still rather have my bodily autonomy and make decisions for myself in the real world.",0,"The raising of taxes may have helped the flood victims, but it did not directly make John better off.",0,"I would say they are not better off because no one, including them, know it is the original so it has no consequence on their life.",,,,,,,,,,,,,,I think the study was very straight forward and interesting to take. I think the payment was fair as well.,9,9,10,9,0,0,0,0,0,0,0,0,0,0,0,,,,,,,1690555479.218625,1,2
28,wo89vnji,5d423e1ef1006e00016a95e1,0,4,36,welfare,EconomicsFan,2023-07-28 14:32:12.018823,1,,,0.0,,,,0,,1690554732.0956056,,gfomuwu5,,,,,0,0,3.0,welfare,1.0,,28,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,1,28,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,2
29,w1mo7yfa,607de1d7c7cc25b639f63026,0,36,36,welfare,Finished,2023-07-28 14:32:18.598975,1,,,0.0,1,true,true,1,1,1690554738.6861217,1690557864.9332716,gfomuwu5,,,,,0,0,3.0,welfare,1.0,,29,,0.0,1,1,1,2,1,1,1,2,1,"{""history"":[],""cutoff"":""left:8""}","{""history"":[],""cutoff"":""left:8""}",2,1,,,,,,,1,1,2,2,3,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1690555120.9547956,1690555172.9816334,1690555192.148235,1690555218.344461,1690555299.6784968,1690555390.113446,,1,1,29,,0.0,,,,,,,,,,,,,,0,This sounds creepy. I would be scared to enter into something like that.,0,"I don't think it leaves him better or worse off, but he should have been notified of the tax he has to be paying.",0,No one will know who actually  has the original so everyone would be worse off. The value then goes down.,,,,,,,,,,,,,,,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,,,,,,,1690555535.3103204,1,2
30,ghn6tqrb,56f0393f3f71990005d0e66d,0,3,36,welfare,Instructions,2023-07-28 14:32:33.158275,1,,,0.0,,,,0,,1690555242.0766063,,gfomuwu5,,,,,0,0,3.0,welfare,1.0,,30,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,1,30,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,2
31,xghtpu9m,614dd661c1fb4b13a7e99d64,0,3,36,welfare,Instructions,2023-07-28 14:33:26.791447,1,,,0.0,,,,1,,1690554996.8296144,,gfomuwu5,,,,,0,0,3.0,welfare,1.0,,31,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,1,31,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,2
32,qaux8jc4,5fc2734dbe970b424ca019b4,0,3,36,welfare,Instructions,2023-07-28 14:33:59.033528,1,,,0.0,,,,0,,1690554869.5016134,,gfomuwu5,,,,,0,0,3.0,welfare,1.0,,32,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,1,32,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,2
33,4r89vx2w,640d988c383c60ed564dd05e,0,36,36,welfare,Finished,2023-07-28 14:35:11.428533,1,,,0.0,1,true,true,1,1,1690554983.7377257,1690555815.8704515,gfomuwu5,,,,,0,0,3.0,welfare,1.0,,33,,0.0,1,1,1,2,1,1,1,2,1,"{""history"":[],""cutoff"":""right:7""}","{""history"":[""left:11"",""right:7"",""right:7""],""cutoff"":""left:11""}",2,1,,,,,,,1,1,2,2,3,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,1690555157.9046428,1690555204.9163718,1690555226.1749296,1690555249.088468,1690555366.4408681,1690555423.8272128,,1,1,33,,0.0,,,,,,,,,,,,,,1,"I am disabled and I would love to experience certain normal or adventurous things that I can no longer do. Also having lost friends and loved ones, I would love to be able to go back and speak to them. I would also love to be able to experience my career as a firefighter again. I would also like to experience how my life would be if I took one of two career paths, I think that might help motivate me to accomplish my dream when things get hard. ",0,Because he is down $100 with a valid reason for why his taxes are being raised. This will probably cause him to donate to less causes in the future because his taxes are so high and might change the way he votes in the future. ,0,"if there is no way to authenticate or tell that is the original, he is no better or worse off because he will never know what he has. ",,,,,,,,,,,,,,The study was super slow to load and I had to hit the next button several times to get the page to advance. The tables did not load the first time around so i had to click next and then get an error message stating the questions needed to be answered in order to get the tables for the books for alex to load. ,9,10,9,8,0,0,0,0,0,0,0,0,0,0,0,,,,,,,1690555433.7291908,1,2
34,766gqsci,633e64bfaab0e4bed6e5307d,0,36,36,welfare,Finished,2023-07-28 14:35:49.793633,1,,,0.0,1,,,0,1,1690555712.8851774,1690557082.7407815,gfomuwu5,,,,,0,0,3.0,welfare,1.0,,34,,0.0,1,1,3,2,1,2,,2,,,,,,,,,,,,1,1,2,2,3,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1690556114.0830736,1690556201.8455405,1690556237.1639924,,,1690556274.1613333,,1,1,34,,0.0,,,,,,,,,,,,,,1,"I probably would go in the machine for the sole fact that you could experience the world without having to worry about travel or money. I, for one, would use it to tour a fantastic country like Australia or Europe. ",0,"No doubt, worse off. No matter the circumstance, everyone should know both why and where their hard earned dollars are going. ",1,"Definitely better off. Even though they may not know it, they had a large chance of getting conned, but did not. ",,,,,,,,,,,,,,Thanks for clearing up the tech error after I contacted you. Interesting study!,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,,,,,,,1690556298.5662584,1,2
35,s78d8c36,62bf0e174650375f525c21bf,0,36,36,welfare,Finished,2023-07-28 14:36:01.097690,1,,,0.0,1,true,true,1,2,1690554961.1887932,1690556583.0576901,gfomuwu5,,,,,0,0,3.0,welfare,1.0,,35,,0.0,2,2,1,2,1,1,1,2,1,NA,"{""history"":[],""cutoff"":""left:8""}",,1,,,,,,,1,1,2,2,3,,,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,0,0,1690555222.9612508,1690555890.3887286,1690555940.0429351,1690555992.9218144,1690556019.9822664,1690556029.3201783,,1,1,35,,0.0,,1,1,2,1,1,1,2,1,"{""history"":[],""cutoff"":""left:9""}","{""history"":[],""cutoff"":""left:8""}",2,1,0,"Life is unfortunately more than the pursuit of success. Building fake success with the assistance of a machine that would not allow you to fail. Anything you did would have a positive outcome. Bad business choices, infidelity, excess use of drugs and alcohol. No problem.",0,There is a large chance that John would have provided more support had there been reporting on the flooding and relief effort.,1,"Outside of getting an original for an incredible discount, this person wanted a Warhol and they received it. That said it will be borderline impossible to know if its real or not.",,,,,,,,,,,,,,,10,9,10,10,0,0,0,0,0,1,0,0,0,0,0,,1690556058.0719461,1690556076.4788048,1690556078.731745,1690556110.0374486,,1690556120.4130778,1,2
36,a34g0p26,63bc90c522eb92023f282463,0,3,36,welfare,Instructions,2023-07-28 14:36:45.152681,1,,,0.0,,,,0,,1690555005.1844397,,gfomuwu5,,,,,0,0,3.0,welfare,1.0,,36,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,1,36,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,2
37,8v937zig,612323ddbebadb638a141ce3,0,36,36,welfare,Finished,2023-07-28 14:38:07.923067,1,,,0.0,1,true,true,1,1,1690555088.3606293,1690556616.3986995,gfomuwu5,,,,,0,0,3.0,welfare,1.0,,37,,0.0,1,1,1,2,1,1,1,2,1,"{""history"":[],""cutoff"":""right:4""}","{""history"":[""left:6""],""cutoff"":""left:5""}",2,1,,,,,,,1,1,2,2,3,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1690555527.3717597,1690555623.1811304,1690555667.5898533,1690555725.5095975,1690555787.585822,1690555841.2128768,,1,1,37,,0.0,,,,,,,,,,,,,,0,I would be to afraid my real life wouldn't be good enough after experiencing something so perfect and immersive. Like maybe I would be depressed to live my life afterwards ,0,"It makes him worse off because to his understanding he only got taxed an extra $100. He doesn't get to feel like a good person by helping the relief effort, or be assured that his tax money is well spent ",0,"No, they don't know it is the original and with so many more fakes, I don't think anyone will buy it from them not for 20k ",,,,,,,,,,,,,,the instructions were clear to me,9,9,8,8,0,0,0,0,0,0,0,0,0,0,0,,,,,,,1690555856.004017,1,2
38,ebx0lfvv,5d5b0dd7c032a2001ad7cf5d,0,1,36,welfare,Welcome,2023-07-28 14:38:43.178813,1,,,0.0,,,,0,,1690555123.3163688,,gfomuwu5,,,,,0,0,3.0,welfare,1.0,,38,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,1,38,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,2
39,hsst6n35,63f7823635eaa68f32130a14,0,36,36,welfare,Finished,2023-07-28 14:38:18.205479,1,,,0.0,1,true,true,1,2,1690555098.5761585,1690556184.0775805,gfomuwu5,,,,,0,0,3.0,welfare,1.0,,39,,0.0,2,1,1,2,1,1,1,2,1,"{""history"":[],""cutoff"":""left:10""}","{""history"":[],""cutoff"":""left:0""}",2,1,,,,,,,1,1,2,2,3,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1690555510.0502808,1690555690.1107888,1690555701.1079702,1690555717.1595535,1690555769.2159934,1690555786.0012684,,1,1,39,,0.0,,1,1,2,1,1,1,2,1,"{""history"":[],""cutoff"":""left:10""}","{""history"":[],""cutoff"":""left:11""}",2,1,0,I'd rather live real life with all the ups and downs than experience only good.,0,John would have donated if given the chance but instead the government is forcing John to pay taxes and he doesn't get to see what happens to the money after it leaves him.,1,I'd rather have the real one than a fake.,,,,,,,,,,,,,,,7,8,5,10,0,0,0,0,0,0,0,0,0,0,0,,1690555794.4920568,1690555802.4016051,1690555815.8549836,1690555824.3150823,,1690555837.6446688,1,2
40,y0v1h8c3,6397bcc95a5e903a262566bb,0,36,36,welfare,Finished,2023-07-28 14:38:36.793678,1,,,0.0,1,true,true,0,1,1690555147.5703304,1690556248.9386616,gfomuwu5,,,,,0,0,3.0,welfare,1.0,,40,,0.0,1,1,1,2,1,1,1,2,1,"{""history"":[],""cutoff"":""left:11""}","{""history"":[],""cutoff"":""left:11""}",2,1,,,,,,,1,1,2,2,3,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1690555374.6113095,1690555452.0350559,1690555495.0105603,1690555532.769447,1690555601.8866844,1690555621.8158302,,1,1,40,,0.0,,,,,,,,,,,,,,0,No I don't believe so. But my real answer is more like maybe but probably not. I don't know. Id have to be presented with the real possibility and give it serious thought. I have many reservations about such an idea though.,0,It would make him worse off due to his dislike for paying taxes. Will only erode and chip away at his trust and overall feelings with the government. ,0,That would depend on if the general public was aware that there were all these fakes out there or not. An original only has the meaning that we assign to it. Without knowing whether or not you have the original you are unable to appreciate its meaning and value. ,,,,,,,,,,,,,,The only feedback or thoughts that I could share is that my study was incredibly slow and sluggish. It also struggled to begin the study in the first place. I don't think its just on my end but it is possible. Figured I should at least pass that along though. ,9,10,8,8,0,0,0,0,0,0,0,0,0,0,0,,,,,,,1690555625.6728988,1,2
41,niepfn3x,5ea5dc0ea29a6a06d12f208b,0,36,36,welfare,Finished,2023-07-28 14:38:39.940622,1,,,0.0,1,true,false,1,1,1690555150.263969,1690556678.558298,gfomuwu5,,,,,0,0,3.0,welfare,1.0,,41,,0.0,1,1,1,2,1,2,1,2,1,NA,"{""history"":[],""cutoff"":""left:5""}",,1,,,,,,,1,1,2,2,3,,,,,,,,,,,,,,1,1,0,1,2,1,0,0,1,0,0,1690555598.3113065,1690555847.427188,1690555858.5397403,1690555878.560873,1690555904.975215,1690555968.286571,,1,1,41,,0.0,,,,,,,,,,,,,,1,i think that  is the  best  answer  that is  why  ,0,i do  not  think this is a good  option that  is  why  ,1,i think  thid id  smooth process that  is  why  ,,,,,,,,,,,,,,yes  i am ,8,9,6,7,0,0,0,0,0,0,0,0,0,0,0,,,,,,,1690555971.7738538,1,2
42,hx6jp1fc,63b63938dbf229f3eb46d4a4,0,36,36,welfare,Finished,2023-07-28 14:39:42.505283,1,,,0.0,1,true,true,0,1,1690555182.5674386,1690555986.6945746,gfomuwu5,,,,,0,0,3.0,welfare,1.0,,42,,0.0,1,1,1,2,1,1,1,2,1,"{""history"":[],""cutoff"":""left:11""}","{""history"":[],""cutoff"":""left:11""}",2,1,,,,,,,1,1,2,2,3,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1690555454.0547805,1690555491.3133383,1690555517.328667,1690555541.9593124,1690555587.151102,1690555623.424778,,1,1,42,,0.0,,,,,,,,,,,,,,1,"Yes if there was a machine that could completely replicate an experience and I'd never not know it wasn't real sure, sign me up. I'll try it once.",0,They took $100 from John that makes him worse in this very simplistic scenario in which I don't look too deeply into the existential question of the meaning of better off. ,1,I just feel that way. let's chalk it up to gut instinct.,,,,,,,,,,,,,,,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,,,,,,,1690555632.4519668,1,2
43,6c9h974x,5fa17ddeabc188288bde81c8,0,36,36,welfare,Finished,2023-07-28 14:41:31.143278,1,,,0.0,1,true,true,1,1,1690555291.909533,1690557273.564141,gfomuwu5,,,,,0,0,3.0,welfare,1.0,,43,,0.0,1,1,1,2,1,1,1,2,1,"{""history"":[],""cutoff"":""left:9""}","{""history"":[],""cutoff"":""left:9""}",2,1,,,,,,,1,1,2,2,3,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1690556040.4967299,1690556092.4149983,1690556147.597145,1690556658.9070952,1690556708.8849092,1690556733.2907305,,1,1,43,,0.0,,,,,,,,,,,,,,1,"Depending on what I could experience, I would see this as a learning opportunity for either my personal edification to understand things I don't know now.  If I have the genuine feelings and thoughts of the experience, I don't think it would matter if it was real or not.  Although there is quite of bit of potential problems where the system could be abused.",1,It allows for people to recover quicker and provide a more sound infrastructure that John lives in.,1,they received a piece of art that they wanted.  Regardless of whether it is a fake or an original.,,,,,,,,,,,,,,Survey loaded slowly between pages.  ,10,10,8,9,0,0,0,0,0,0,0,0,0,0,0,,,,,,,1690556737.030011,1,2
44,g8afaudy,5b5b6c11f5bc590001177815,0,36,36,welfare,Finished,2023-07-28 14:41:48.311493,1,,,0.0,1,true,true,0,1,1690555351.4602492,1690555962.1006198,gfomuwu5,,,,,0,0,3.0,welfare,1.0,,44,,0.0,1,1,1,2,1,1,1,2,1,"{""history"":[],""cutoff"":""right:9""}","{""history"":[""right:11"",""left:10"",""left:10"",""left:9""],""cutoff"":""left:10""}",2,1,,,,,,,1,1,2,2,3,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,1690555597.7267606,1690555631.2835815,1690555649.658513,1690555665.15479,1690555758.5942986,1690555765.75342,,1,1,44,,0.0,,,,,,,,,,,,,,1,I think I would go into it just to try it .,1,Because it would go to flood relief even though he does not know about it,1,Because the original is worth more money,,,,,,,,,,,,,,,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,,,,,,,1690555785.3398037,1,2
45,cj0yruf5,593d60d9d3501e0001bc16e4,0,0,36,,,,1,,,0.0,,,,1,,,,gfomuwu5,,,,,0,0,3.0,welfare,1.0,,45,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,1,45,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,2
46,8zkxvs5d,5e0f443e8205266652153f5e,0,0,36,,,,1,,,0.0,,,,0,,,,gfomuwu5,,,,,0,0,3.0,welfare,1.0,,46,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,1,46,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,2
47,o7mnvtoe,5d7126d0585f4f000139a9e8,0,36,36,welfare,Finished,2023-07-28 14:45:14.996836,1,,,0.0,1,true,true,1,1,1690555516.7578645,1690557323.87214,gfomuwu5,,,,,0,0,3.0,welfare,1.0,,47,,0.0,1,1,1,2,1,1,1,2,1,"{""history"":[],""cutoff"":""right:9""}","{""history"":[],""cutoff"":""right:7""}",2,1,,,,,,,1,1,2,2,3,,,,,,,,,,,,,,0,0,0,0,0,1,1,1,0,0,0,1690556463.1871386,1690556517.1318965,1690556530.8316622,1690556541.436758,1690556675.9561825,1690556681.4421198,,1,1,47,,0.0,,,,,,,,,,,,,,1,"Absolutely, because I'm an adventurous person and I love the idea of quantum jumping, parallel realities and VR experiences. ",1,Because John seems like a person who likes to help out his fellow citizens. ,0,"They purchased a $20,000 art drawing & reduced it to only being worth $250, making a total profit of $250,000 while the person who has the original piece (if they really did sell it) has no idea. Even if they did have a $20,000 artwork originally it doesn't matter anymore because 999 other people have the exact same thing and the new market value price is $250. ",,,,,,,,,,,,,,,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,,,,,,,1690556684.0795941,1,2
48,ro3rhnyo,,0,0,36,,,,0,,,0.0,,,,0,,,,gfomuwu5,,,,,0,0,3.0,welfare,1.0,,48,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,1,48,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,2
49,rv26src4,,0,0,36,,,,0,,,0.0,,,,1,,,,gfomuwu5,,,,,0,0,3.0,welfare,1.0,,49,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,1,49,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,2
50,4c2lduld,,0,0,36,,,,0,,,0.0,,,,0,,,,gfomuwu5,,,,,0,0,3.0,welfare,1.0,,50,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,1,50,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,2
